Running on 16-08-2020, 23:27
16-08-2020, 23:27 -- RITES -- Current Price: 248.55 -- Crossover: 9&21 on 11-08-2020(251.05) -- Crossover: 9&55 on 10-08-2020(247.75)
16-08-2020, 23:27 -- HILTON -- Current Price: 11.0 -- Crossover: 9&21 on 12-08-2020(10.0) -- Crossover: 9&55 on 13-08-2020(10.5)
16-08-2020, 23:27 -- SANDESH -- Current Price: 480.25 -- Crossover: 9&21 on 12-08-2020(487.0) -- Crossover: 9&55 on 12-08-2020(487.0)
16-08-2020, 23:27 -- KENNAMET -- Current Price: 813.6 -- Crossover: 9&21 on 10-08-2020(757.2) -- Crossover: 9&55 on 10-08-2020(757.2)
16-08-2020, 23:27 -- INDTERRAIN -- Current Price: 32.3 -- Crossover: 9&21 on 11-08-2020(29.15) -- Crossover: 9&55 on 12-08-2020(33.5)
16-08-2020, 23:27 -- AJMERA -- Current Price: 84.95 -- Crossover: 9&21 on 11-08-2020(80.65) -- Crossover: 9&55 on 11-08-2020(80.65)
16-08-2020, 23:27 -- ADORWELD -- Current Price: 259.4 -- Crossover: 9&21 on 10-08-2020(258.45) -- Crossover: 9&55 on 12-08-2020(258.7)
16-08-2020, 23:27 -- HTMEDIA -- Current Price: 13.55 -- Crossover: 9&21 on 13-08-2020(12.5) -- Crossover: 9&55 on 13-08-2020(12.5)
16-08-2020, 23:27 -- UFO -- Current Price: 75.4 -- Crossover: 9&21 on 11-08-2020(76.15) -- Crossover: 9&55 on 12-08-2020(77.4)
16-08-2020, 23:27 -- RUPA -- Current Price: 203.05 -- Crossover: 9&21 on 10-08-2020(162.35) -- Crossover: 9&55 on 10-08-2020(162.35)
16-08-2020, 23:27 -- ARCHIES -- Current Price: 12.3 -- Crossover: 9&21 on 13-08-2020(12.2) -- Crossover: 9&55 on 13-08-2020(12.2)
16-08-2020, 23:27 -- SPAL -- Current Price: 79.55 -- Crossover: 9&21 on 11-08-2020(73.3) -- Crossover: 9&55 on 11-08-2020(73.3)
16-08-2020, 23:27 -- SETCO -- Current Price: 10.75 -- Crossover: 9&21 on 10-08-2020(9.95) -- Crossover: 9&55 on 11-08-2020(10.5)
16-08-2020, 23:27 -- BASML -- Current Price: 90.55 -- Crossover: 9&21 on 13-08-2020(90.3) -- Crossover: 9&55 on 13-08-2020(90.3)
16-08-2020, 23:27 -- DUCON -- Current Price: 3.95 -- Crossover: 9&21 on 11-08-2020(3.95) -- Crossover: 9&55 on 13-08-2020(3.95)
16-08-2020, 23:27 -- RAMASTEEL -- Current Price: 33.75 -- Crossover: 9&21 on 12-08-2020(31.6) -- Crossover: 9&55 on 12-08-2020(31.6)
