"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ACC","EQ","20-Apr-2020","       1172.80","       1189.95","       1210.75","       1170.10","       1181.00","       1175.50","       1189.16","    1951458","          2320592810.75","      92018"
"ACC","EQ","21-Apr-2020","       1175.50","       1167.00","       1167.00","       1132.45","       1135.55","       1136.75","       1146.31","    1379968","          1581869337.45","      55890"
"ACC","EQ","22-Apr-2020","       1136.75","       1155.15","       1244.00","       1120.00","       1233.65","       1229.55","       1176.52","    4910652","          5777471878.70","     173833"
"ACC","EQ","23-Apr-2020","       1229.55","       1228.95","       1237.95","       1177.55","       1196.00","       1190.45","       1204.89","    2072239","          2496815247.25","      68783"
"ACC","EQ","24-Apr-2020","       1190.45","       1182.00","       1193.00","       1151.70","       1156.00","       1156.60","       1169.37","    1332356","          1558020997.20","      57455"
"ACC","EQ","27-Apr-2020","       1156.60","       1170.10","       1181.00","       1134.50","       1140.00","       1137.90","       1152.25","    1469480","          1693209529.85","      48996"
"ACC","EQ","28-Apr-2020","       1137.90","       1158.00","       1158.00","       1122.00","       1132.00","       1126.50","       1137.12","    1094422","          1244490248.55","      35480"
"ACC","EQ","29-Apr-2020","       1126.50","       1128.00","       1140.00","       1107.00","       1126.90","       1122.20","       1122.47","    1998171","          2242892211.30","      70688"
"ACC","EQ","30-Apr-2020","       1122.20","       1139.25","       1192.80","       1137.00","       1170.10","       1179.10","       1171.32","    1910083","          2237325067.65","      70667"
"ACC","EQ","04-May-2020","       1179.10","       1130.00","       1149.40","       1117.20","       1129.70","       1126.80","       1129.17","     960797","          1084907244.40","      41726"
"ACC","EQ","05-May-2020","       1126.80","       1137.65","       1168.45","       1125.75","       1145.00","       1134.60","       1149.83","    2292647","          2636163776.40","      66213"
"ACC","EQ","06-May-2020","       1134.60","       1145.00","       1190.00","       1141.70","       1182.85","       1182.25","       1169.92","    2397643","          2805045022.55","      64930"
"ACC","EQ","07-May-2020","       1182.25","       1178.90","       1204.00","       1147.05","       1158.00","       1152.65","       1176.89","    1390594","          1636574972.10","      49094"
"ACC","EQ","08-May-2020","       1152.65","       1166.00","       1179.00","       1145.35","       1153.00","       1153.80","       1158.56","     993476","          1151001397.60","      31467"
"ACC","EQ","11-May-2020","       1153.80","       1162.00","       1187.95","       1160.05","       1169.70","       1170.20","       1173.20","     988418","          1159611549.35","      39512"
"ACC","EQ","12-May-2020","       1170.20","       1165.80","       1172.40","       1147.20","       1166.00","       1167.60","       1160.86","     726718","           843617116.85","      26474"
"ACC","EQ","13-May-2020","       1167.60","       1220.00","       1257.00","       1195.25","       1214.00","       1207.95","       1228.65","    3601199","          4424604689.05","     101331"
"ACC","EQ","14-May-2020","       1207.95","       1200.00","       1219.40","       1175.50","       1191.00","       1189.00","       1193.87","    1301098","          1553336098.95","      43648"
"ACC","EQ","15-May-2020","       1189.00","       1200.00","       1205.00","       1173.00","       1192.80","       1194.20","       1188.86","    1268081","          1507573546.00","      43866"
"ACC","EQ","18-May-2020","       1194.20","       1202.00","       1202.00","       1125.00","       1132.75","       1134.55","       1156.36","    1191015","          1377237734.40","      59389"
"ACC","EQ","19-May-2020","       1134.55","       1140.05","       1159.00","       1130.00","       1136.50","       1138.45","       1144.09","    1149445","          1315070168.15","      41691"
"ACC","EQ","20-May-2020","       1138.45","       1136.45","       1176.95","       1130.60","       1172.00","       1170.85","       1157.31","     972861","          1125900524.10","      39099"
"ACC","EQ","21-May-2020","       1170.85","       1175.00","       1200.75","       1170.00","       1182.00","       1187.60","       1186.02","    1009443","          1197220050.70","      36977"
"ACC","EQ","22-May-2020","       1187.60","       1172.00","       1240.00","       1161.60","       1232.00","       1227.10","       1208.84","    1632263","          1973143427.50","      55541"
"ACC","EQ","26-May-2020","       1227.10","       1236.00","       1282.80","       1236.00","       1276.00","       1277.45","       1262.21","    2562407","          3234296281.10","      81658"
"ACC","EQ","27-May-2020","       1277.45","       1287.00","       1288.00","       1242.20","       1259.60","       1259.55","       1256.20","    1483250","          1863261210.75","      55832"
"ACC","EQ","28-May-2020","       1259.55","       1263.40","       1278.55","       1256.00","       1271.05","       1272.20","       1268.23","    1132216","          1435905980.50","      38594"
"ACC","EQ","29-May-2020","       1272.20","       1268.00","       1297.95","       1261.05","       1268.00","       1270.20","       1279.75","    1162844","          1488147385.55","      37406"
"ACC","EQ","01-Jun-2020","       1270.20","       1283.00","       1310.00","       1273.05","       1283.00","       1283.75","       1295.97","    1110142","          1438708517.80","      37028"
"ACC","EQ","02-Jun-2020","       1283.75","       1282.00","       1299.30","       1272.80","       1287.10","       1287.10","       1287.03","     980515","          1261947953.50","      40799"
