"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BAJAJFINSV","EQ","22-Jul-2019","       7566.35","       7541.00","       7544.00","       7080.80","       7144.90","       7162.45","       7215.87","     693477","          5004039163.90","      84724"
"BAJAJFINSV","EQ","23-Jul-2019","       7162.45","       7164.80","       7254.95","       7115.00","       7184.00","       7170.35","       7192.02","     324922","          2336844725.40","      38662"
"BAJAJFINSV","EQ","24-Jul-2019","       7170.35","       7205.00","       7223.00","       6966.05","       7063.00","       7065.30","       7059.26","     441763","          3118518563.10","      44444"
"BAJAJFINSV","EQ","25-Jul-2019","       7065.30","       7069.90","       7170.00","       6760.00","       6770.00","       6782.30","       6937.95","    1095745","          7602220614.85","     105631"
"BAJAJFINSV","EQ","26-Jul-2019","       6782.30","       6775.00","       7298.00","       6631.70","       7279.70","       7233.00","       7064.96","    1282898","          9063618599.50","     118484"
"BAJAJFINSV","EQ","29-Jul-2019","       7233.00","       7235.00","       7283.70","       7090.00","       7133.00","       7120.85","       7171.91","     419089","          3005666639.15","      44379"
"BAJAJFINSV","EQ","30-Jul-2019","       7120.85","       7150.00","       7257.75","       7056.00","       7093.65","       7078.05","       7160.54","     342504","          2452513862.60","      37172"
"BAJAJFINSV","EQ","31-Jul-2019","       7078.05","       7088.00","       7123.20","       6895.00","       7089.90","       7097.85","       7024.59","     356118","          2501582970.45","      41618"
"BAJAJFINSV","EQ","01-Aug-2019","       7097.85","       7075.00","       7179.80","       6970.55","       7094.95","       7082.00","       7103.99","     365797","          2598619231.60","      47021"
"BAJAJFINSV","EQ","02-Aug-2019","       7082.00","       6955.00","       7125.00","       6902.00","       7060.10","       7063.70","       7017.24","     469811","          3296774445.80","      57042"
"BAJAJFINSV","EQ","05-Aug-2019","       7063.70","       6975.00","       7035.00","       6942.00","       6975.30","       6986.95","       6980.93","     296069","          2066835839.65","      35766"
"BAJAJFINSV","EQ","06-Aug-2019","       6986.95","       6950.00","       7128.00","       6950.00","       7096.40","       7096.35","       7081.49","     349945","          2478132263.25","      50279"
