"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HDFC","EQ","20-Apr-2020","       1680.60","       1709.80","       1738.00","       1673.40","       1734.00","       1727.70","       1709.85","    7372380","         12605653593.10","     203023"
"HDFC","EQ","21-Apr-2020","       1727.70","       1670.00","       1694.80","       1651.10","       1665.00","       1669.70","       1676.04","    6604554","         11069479447.90","     180701"
"HDFC","EQ","22-Apr-2020","       1669.70","       1669.70","       1679.00","       1626.15","       1670.00","       1664.15","       1659.27","    5301750","          8797052694.15","     192440"
"HDFC","EQ","23-Apr-2020","       1664.15","       1674.90","       1687.00","       1651.60","       1656.00","       1663.45","       1666.79","    4419421","          7366264029.95","     173378"
"HDFC","EQ","24-Apr-2020","       1663.45","       1603.00","       1624.95","       1569.10","       1588.00","       1580.30","       1599.71","    7166440","         11464230351.30","     298693"
"HDFC","EQ","27-Apr-2020","       1580.30","       1618.10","       1652.15","       1585.35","       1600.60","       1591.45","       1620.72","    5719079","          9269017193.80","     198621"
"HDFC","EQ","28-Apr-2020","       1591.45","       1615.80","       1725.00","       1612.65","       1724.00","       1715.80","       1671.93","    7691600","         12859811307.05","     233697"
"HDFC","EQ","29-Apr-2020","       1715.80","       1734.00","       1845.00","       1726.00","       1827.95","       1836.75","       1803.34","   11881509","         21426401017.60","     374646"
"HDFC","EQ","30-Apr-2020","       1836.75","       1857.00","       1927.00","       1855.50","       1916.15","       1916.00","       1894.76","    8237079","         15607316366.45","     279673"
"HDFC","EQ","04-May-2020","       1916.00","       1856.00","       1856.00","       1708.30","       1724.85","       1724.35","       1756.37","    6040202","         10608844799.65","     255869"
"HDFC","EQ","05-May-2020","       1724.35","       1745.00","       1769.50","       1678.00","       1697.00","       1689.90","       1723.19","    7807204","         13453332182.70","     248587"
"HDFC","EQ","06-May-2020","       1689.90","       1709.00","       1777.55","       1680.00","       1735.00","       1732.15","       1736.02","    8781437","         15244720856.40","     250369"
"HDFC","EQ","07-May-2020","       1732.15","       1730.00","       1745.95","       1697.65","       1707.00","       1703.90","       1716.17","    3349484","          5748291661.35","     114586"
"HDFC","EQ","08-May-2020","       1703.90","       1737.00","       1742.00","       1685.00","       1689.75","       1689.70","       1705.93","    4420831","          7541626740.25","     129326"
"HDFC","EQ","11-May-2020","       1689.70","       1712.50","       1722.00","       1652.10","       1660.00","       1658.45","       1682.44","    4677500","          7869617983.70","     154839"
"HDFC","EQ","12-May-2020","       1658.45","       1630.00","       1682.80","       1587.10","       1671.90","       1674.10","       1626.65","    7019332","         11417987222.90","     244690"
"HDFC","EQ","13-May-2020","       1674.10","       1747.00","       1749.50","       1698.00","       1716.00","       1712.75","       1721.21","    5734243","          9869849432.50","     205554"
"HDFC","EQ","14-May-2020","       1712.75","       1685.00","       1693.00","       1628.10","       1636.20","       1632.40","       1656.59","    5424770","          8986603023.95","     201771"
"HDFC","EQ","15-May-2020","       1632.40","       1649.00","       1657.75","       1609.00","       1634.00","       1633.80","       1633.41","    5610025","          9163464257.55","     245689"
"HDFC","EQ","18-May-2020","       1633.80","       1633.50","       1637.65","       1506.40","       1518.55","       1512.05","       1552.96","    8460262","         13138490500.35","     326536"
"HDFC","EQ","19-May-2020","       1512.05","       1570.00","       1591.75","       1512.00","       1545.00","       1539.85","       1553.92","    9261076","         14390950083.75","     254429"
"HDFC","EQ","20-May-2020","       1539.85","       1550.00","       1640.00","       1545.00","       1634.50","       1627.00","       1587.90","    6847043","         10872414709.35","     236795"
