"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ICICIBANK","EQ","22-Jul-2019","        410.30","        409.75","        412.95","        404.25","        411.85","        411.50","        409.91","   17937246","          7352709902.10","     145004"
"ICICIBANK","EQ","23-Jul-2019","        411.50","        412.80","        416.00","        409.75","        410.90","        411.95","        413.88","   14207080","          5880090845.20","     148413"
"ICICIBANK","EQ","24-Jul-2019","        411.95","        411.85","        411.85","        401.70","        407.90","        408.50","        406.86","   16505930","          6715646902.70","     172030"
"ICICIBANK","EQ","25-Jul-2019","        408.50","        409.20","        413.85","        405.30","        410.25","        409.00","        409.00","   16852479","          6892665789.25","     170631"
"ICICIBANK","EQ","26-Jul-2019","        409.00","        410.25","        419.40","        408.55","        419.15","        415.75","        413.72","   17493739","          7237591426.75","     170388"
"ICICIBANK","EQ","29-Jul-2019","        415.75","        433.00","        435.35","        425.30","        427.80","        429.35","        430.36","   46754670","         20121277371.75","     440893"
"ICICIBANK","EQ","30-Jul-2019","        429.35","        433.00","        438.70","        422.75","        427.25","        425.35","        432.02","   23617273","         10203148627.45","     233146"
"ICICIBANK","EQ","31-Jul-2019","        425.35","        423.90","        430.20","        421.20","        425.85","        424.60","        425.24","   22329888","          9495605716.75","     194617"
"ICICIBANK","EQ","01-Aug-2019","        424.60","        423.25","        426.35","        410.65","        418.65","        417.05","        419.10","   18269866","          7656815097.95","     193930"
"ICICIBANK","EQ","02-Aug-2019","        417.05","        413.90","        417.85","        405.50","        411.00","        410.60","        410.35","   30939803","         12696139252.30","     243291"
"ICICIBANK","EQ","05-Aug-2019","        410.60","        403.65","        406.65","        395.75","        403.05","        402.65","        401.22","   25033370","         10043943342.85","     242846"
"ICICIBANK","EQ","06-Aug-2019","        402.65","        401.00","        411.50","        400.90","        410.55","        410.25","        408.32","   30665326","         12521214684.25","     301347"
"ICICIBANK","EQ","07-Aug-2019","        410.25","        409.30","        415.00","        406.30","        407.40","        408.40","        411.55","   20977349","          8633243520.35","     154794"
"ICICIBANK","EQ","08-Aug-2019","        408.40","        411.00","        416.60","        404.15","        416.25","        414.40","        409.14","   19046657","          7792706984.85","     154895"
"ICICIBANK","EQ","09-Aug-2019","        414.40","        416.50","        422.40","        414.50","        421.35","        420.15","        419.14","   17664017","          7403662920.75","     127933"
"ICICIBANK","EQ","13-Aug-2019","        420.15","        417.00","        421.70","        409.15","        409.85","        410.25","        415.92","   18389104","          7648346484.30","     221004"
"ICICIBANK","EQ","14-Aug-2019","        410.25","        411.90","        422.20","        411.25","        416.90","        417.30","        418.24","   13307755","          5565883355.20","     147540"
"ICICIBANK","EQ","16-Aug-2019","        417.30","        417.80","        420.00","        412.10","        419.20","        418.95","        416.36","   15154141","          6309578175.10","     162922"
"ICICIBANK","EQ","19-Aug-2019","        418.95","        420.10","        427.90","        420.10","        423.45","        423.40","        424.67","   12304262","          5225224537.50","     122571"
"ICICIBANK","EQ","20-Aug-2019","        423.40","        420.80","        423.20","        412.50","        416.65","        416.90","        417.39","   16181488","          6753998015.40","     163209"
"ICICIBANK","EQ","21-Aug-2019","        416.90","        416.00","        418.70","        410.55","        411.50","        412.05","        415.25","   12868183","          5343457015.05","     134773"
"ICICIBANK","EQ","22-Aug-2019","        412.05","        411.00","        412.50","        398.00","        398.85","        399.10","        404.13","   18182520","          7348057394.20","     190231"
"ICICIBANK","EQ","23-Aug-2019","        399.10","        389.00","        403.50","        385.80","        395.90","        395.40","        394.27","   26883695","         10599558654.90","     308663"
"ICICIBANK","EQ","26-Aug-2019","        395.40","        407.00","        414.00","        392.85","        413.25","        411.65","        404.34","   26701988","         10796549055.30","     212742"
"ICICIBANK","EQ","27-Aug-2019","        411.65","        412.80","        420.50","        411.25","        418.40","        418.60","        417.06","   28793372","         12008603661.30","     266467"
"ICICIBANK","EQ","28-Aug-2019","        418.60","        418.00","        418.25","        409.70","        412.70","        412.95","        414.46","   12154347","          5037546077.85","     170749"
"ICICIBANK","EQ","29-Aug-2019","        412.95","        409.90","        410.80","        399.35","        406.30","        404.40","        404.32","   30331105","         12263525189.50","     197252"
"ICICIBANK","EQ","30-Aug-2019","        404.40","        406.50","        412.85","        402.65","        411.35","        409.65","        407.42","   18314194","          7461525667.65","     225177"
"ICICIBANK","EQ","03-Sep-2019","        409.65","        405.05","        406.40","        391.05","        391.85","        392.15","        396.27","   20194305","          8002458000.20","     220712"
"ICICIBANK","EQ","04-Sep-2019","        392.15","        391.00","        399.65","        389.90","        397.95","        397.50","        395.72","   18614965","          7366389453.35","     168152"
"ICICIBANK","EQ","05-Sep-2019","        397.50","        389.55","        394.00","        388.00","        388.60","        389.00","        390.76","   25022673","          9777946780.00","     271033"
"ICICIBANK","EQ","06-Sep-2019","        389.00","        391.00","        394.50","        389.20","        392.05","        391.35","        392.00","   17564286","          6885227550.90","     161875"
"ICICIBANK","EQ","09-Sep-2019","        391.35","        393.00","        400.40","        389.10","        395.85","        395.45","        396.17","   18651819","          7389247021.80","     165225"
"ICICIBANK","EQ","11-Sep-2019","        395.45","        394.90","        399.00","        393.35","        394.20","        394.60","        395.79","   17463978","          6912074095.80","     157848"
"ICICIBANK","EQ","12-Sep-2019","        394.60","        399.65","        407.20","        399.65","        402.60","        402.70","        404.39","   19577114","          7916740655.05","     166914"
"ICICIBANK","EQ","13-Sep-2019","        402.70","        406.80","        414.90","        400.65","        413.70","        413.40","        407.77","   17775449","          7248327670.75","     152585"
"ICICIBANK","EQ","16-Sep-2019","        413.40","        408.50","        415.65","        406.75","        411.50","        412.15","        412.22","   17629622","          7267226167.75","     136395"
"ICICIBANK","EQ","17-Sep-2019","        412.15","        405.85","        411.90","        398.30","        400.25","        400.65","        406.05","   20793363","          8443079215.90","     196466"
"ICICIBANK","EQ","18-Sep-2019","        400.65","        405.45","        405.45","        396.50","        399.25","        399.35","        400.63","   18477377","          7402558812.75","     196466"
"ICICIBANK","EQ","19-Sep-2019","        399.35","        395.70","        395.70","        384.35","        386.30","        386.60","        388.74","   22647508","          8803902969.25","     211345"
"ICICIBANK","EQ","20-Sep-2019","        386.60","        389.00","        424.00","        386.65","        415.75","        417.50","        411.80","   75217723","         30974402469.65","     481110"
"ICICIBANK","EQ","23-Sep-2019","        417.50","        435.80","        450.00","        428.45","        442.00","        446.30","        441.55","   57490445","         25384929545.35","     453079"
"ICICIBANK","EQ","24-Sep-2019","        446.30","        441.50","        448.65","        433.35","        441.00","        440.90","        439.43","   26639931","         11706341826.85","     234931"
"ICICIBANK","EQ","25-Sep-2019","        440.90","        439.10","        440.95","        429.60","        434.80","        434.20","        434.35","   19987241","          8681434244.45","     203698"
"ICICIBANK","EQ","26-Sep-2019","        434.20","        439.00","        458.65","        438.55","        451.70","        451.95","        449.49","   40909369","         18388443640.45","     271788"
"ICICIBANK","EQ","27-Sep-2019","        451.95","        449.50","        451.85","        443.30","        450.00","        449.20","        447.40","   19432963","          8694402092.25","     173588"
"ICICIBANK","EQ","30-Sep-2019","        449.20","        443.30","        445.15","        431.00","        433.80","        433.70","        436.05","   27524660","         12002099399.10","     206835"
