"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","20-Apr-2020","       1224.00","       1226.00","       1257.00","       1202.00","       1248.10","       1243.80","       1228.75","   16472339","         20240404168.15","     365965"
"RELIANCE","EQ","21-Apr-2020","       1243.80","       1210.00","       1252.00","       1164.00","       1251.50","       1237.35","       1204.07","   28057706","         33783478000.15","     573205"
"RELIANCE","EQ","22-Apr-2020","       1237.35","       1320.00","       1384.90","       1300.00","       1359.00","       1363.60","       1341.48","   65230894","         87505942711.40","    1194059"
"RELIANCE","EQ","23-Apr-2020","       1363.60","       1367.35","       1385.85","       1353.30","       1370.15","       1370.90","       1369.10","   29928331","         40974916120.55","     612506"
"RELIANCE","EQ","24-Apr-2020","       1370.90","       1350.15","       1494.95","       1347.20","       1425.80","       1417.00","       1431.67","   61711388","         88350296135.65","    1154959"
"RELIANCE","EQ","27-Apr-2020","       1417.00","       1434.00","       1475.00","       1423.00","       1431.00","       1429.75","       1448.31","   26736512","         38722699504.95","     594518"
"RELIANCE","EQ","28-Apr-2020","       1429.75","       1450.00","       1455.45","       1392.15","       1430.00","       1428.15","       1421.22","   35866381","         50974111340.65","     746066"
"RELIANCE","EQ","29-Apr-2020","       1428.15","       1444.90","       1453.65","       1420.00","       1427.00","       1426.95","       1436.42","   17141540","         24622404116.35","     389293"
"RELIANCE","EQ","30-Apr-2020","       1426.95","       1453.95","       1494.95","       1438.05","       1464.00","       1466.00","       1467.88","   32617901","         47879255960.05","     663204"
"RELIANCE","EQ","04-May-2020","       1466.00","       1440.00","       1465.00","       1417.45","       1435.00","       1435.20","       1442.94","   24439240","         35264364750.75","     544309"
"RELIANCE","EQ","05-May-2020","       1435.20","       1453.70","       1479.00","       1447.20","       1462.65","       1460.65","       1464.23","   20528706","         30058697949.35","     412545"
"RELIANCE","EQ","06-May-2020","       1460.65","       1464.00","       1484.95","       1445.50","       1461.50","       1460.75","       1468.54","   18510304","         27183196663.05","     425042"
"RELIANCE","EQ","07-May-2020","       1460.75","       1455.00","       1513.65","       1445.00","       1512.00","       1506.95","       1484.86","   22871529","         33961065996.95","     465254"
"RELIANCE","EQ","08-May-2020","       1506.95","       1545.00","       1579.90","       1537.10","       1559.45","       1561.80","       1560.62","   38522385","         60118628770.50","     727915"
"RELIANCE","EQ","11-May-2020","       1561.80","       1580.00","       1615.00","       1572.30","       1575.00","       1576.80","       1592.89","   30670404","         48854566347.85","     576001"
"RELIANCE","EQ","12-May-2020","       1576.80","       1564.80","       1568.35","       1465.00","       1486.45","       1479.25","       1511.39","   46029119","         69568011663.15","     807575"
"RELIANCE","EQ","13-May-2020","       1479.25","       1527.00","       1527.00","       1454.00","       1492.50","       1496.45","       1481.10","   30658051","         45407632804.00","     615366"
"RELIANCE","EQ","14-May-2020","       1496.45","       1469.00","       1496.70","       1430.05","       1437.00","       1435.95","       1457.61","   22736714","         33141191470.35","     494402"
